key,clicks,impressions,ctr,position
Bulgaria,14715.0,152213.0,0.0967,8.12
Italy,270.0,2648.0,0.102,5.52
Germany,263.0,4322.0,0.060899999999999996,6.83
Spain,241.0,2385.0,0.10099999999999999,6.42
United Kingdom,212.0,4086.0,0.0519,7.12
United States,109.0,20619.0,0.0053,6.01
Greece,78.0,1143.0,0.0682,7.15
India,75.0,2535.0,0.0296,5.29
Netherlands,65.0,2430.0,0.026699999999999998,6.07
Austria,57.0,810.0,0.0704,6.94
Turkey,51.0,838.0,0.060899999999999996,8.93
France,48.0,991.0,0.0484,7.38
Belgium,29.0,658.0,0.0441,6.89
Canada,27.0,729.0,0.037000000000000005,7.88
Switzerland,27.0,377.0,0.0716,8.11
Malaysia,23.0,173.0,0.1329,7.41
Russia,18.0,814.0,0.022099999999999998,13.2
Ukraine,17.0,612.0,0.0278,11.08
Poland,16.0,375.0,0.042699999999999995,7.79
Romania,14.0,320.0,0.0438,10.42
Serbia,14.0,246.0,0.056900000000000006,7.83
Denmark,14.0,218.0,0.0642,6.49
Sweden,14.0,214.0,0.0654,8.12
Norway,13.0,168.0,0.0774,6.99
Cyprus,13.0,153.0,0.085,6.56
Hungary,9.0,146.0,0.0616,7.09
Luxembourg,8.0,74.0,0.1081,6.99
Macedonia,7.0,281.0,0.024900000000000002,12.67
Czechia,7.0,222.0,0.0315,7.46
Albania,7.0,47.0,0.1489,8.79
Australia,6.0,157.0,0.0382,7.55
Ireland,6.0,147.0,0.0408,6.8
Belarus,6.0,67.0,0.08960000000000001,12.87
Armenia,5.0,197.0,0.0254,6.62
Moldova,5.0,157.0,0.0318,6.22
Mexico,4.0,297.0,0.013500000000000002,9.44
Slovenia,4.0,121.0,0.0331,7.31
Croatia,4.0,118.0,0.0339,7.09
Israel,4.0,117.0,0.0342,9.71
Lithuania,4.0,99.0,0.0404,7.2
Latvia,4.0,78.0,0.0513,10.15
South Africa,4.0,64.0,0.0625,14.47
Malta,4.0,52.0,0.07690000000000001,6.06
Estonia,4.0,51.0,0.0784,7.39
United Arab Emirates,3.0,249.0,0.012,4.4
Portugal,3.0,211.0,0.014199999999999999,7.27
China,3.0,95.0,0.0316,6.29
Finland,3.0,89.0,0.0337,6.1
Uzbekistan,3.0,57.0,0.0526,9.11
Argentina,2.0,114.0,0.0175,16.47
Saudi Arabia,2.0,77.0,0.026000000000000002,15.27
Hong Kong,2.0,70.0,0.0286,6.91
Slovakia,2.0,69.0,0.028999999999999998,7.35
Georgia,2.0,47.0,0.0426,11.45
Peru,2.0,46.0,0.0435,10.74
Iraq,2.0,43.0,0.04650000000000001,16.26
Unknown Region,2.0,22.0,0.0909,12.18
Qatar,2.0,11.0,0.1818,7.91
Brazil,1.0,1183.0,0.0008,11.32
Japan,1.0,271.0,0.0037,7.61
Thailand,1.0,254.0,0.0039000000000000003,9.28
Vietnam,1.0,242.0,0.0040999999999999995,19.36
Indonesia,1.0,226.0,0.0044,12.35
Philippines,1.0,143.0,0.006999999999999999,16.23
South Korea,1.0,100.0,0.01,13.44
Taiwan,1.0,98.0,0.0102,7.0
Iran,1.0,72.0,0.0139,7.44
Colombia,1.0,71.0,0.0141,16.14
Bangladesh,1.0,67.0,0.0149,12.18
Uruguay,1.0,47.0,0.0213,9.43
Jordan,1.0,29.0,0.0345,15.1
Kyrgyzstan,1.0,26.0,0.0385,12.69
Tunisia,1.0,22.0,0.0455,7.05
Kosovo,1.0,18.0,0.0556,7.44
Iceland,1.0,11.0,0.0909,4.91
Gibraltar,1.0,5.0,0.2,4.4
Madagascar,1.0,2.0,0.5,2.0
Singapore,0.0,112.0,0.0,6.06
Jamaica,0.0,100.0,0.0,6.88
Pakistan,0.0,94.0,0.0,11.8
New Zealand,0.0,74.0,0.0,7.85
Egypt,0.0,71.0,0.0,10.18
Morocco,0.0,71.0,0.0,20.39
Kazakhstan,0.0,68.0,0.0,10.43
Nigeria,0.0,57.0,0.0,11.18
Bosnia & Herzegovina,0.0,56.0,0.0,7.46
Dominican Republic,0.0,44.0,0.0,6.64
Azerbaijan,0.0,42.0,0.0,8.36
Cuba,0.0,39.0,0.0,5.49
Ecuador,0.0,39.0,0.0,13.31
Chile,0.0,36.0,0.0,21.61
Algeria,0.0,29.0,0.0,18.03
Guatemala,0.0,25.0,0.0,6.24
Venezuela,0.0,25.0,0.0,16.64
Oman,0.0,23.0,0.0,6.26
Puerto Rico,0.0,22.0,0.0,5.32
Kenya,0.0,21.0,0.0,10.1
Montenegro,0.0,17.0,0.0,12.06
Libya,0.0,15.0,0.0,4.4
Ghana,0.0,15.0,0.0,7.13
Belize,0.0,15.0,0.0,7.87
Côte d’Ivoire,0.0,15.0,0.0,7.93
Cambodia,0.0,14.0,0.0,7.14
Costa Rica,0.0,14.0,0.0,7.21
Sri Lanka,0.0,11.0,0.0,9.82
Kuwait,0.0,11.0,0.0,9.91
Myanmar (Burma),0.0,11.0,0.0,31.55
Turkmenistan,0.0,10.0,0.0,6.2
Lebanon,0.0,10.0,0.0,14.9
Nepal,0.0,10.0,0.0,15.9
Haiti,0.0,9.0,0.0,5.56
Angola,0.0,9.0,0.0,7.78
Trinidad & Tobago,0.0,9.0,0.0,10.67
Ethiopia,0.0,9.0,0.0,11.56
Palestine,0.0,9.0,0.0,11.56
Panama,0.0,8.0,0.0,11.12
Senegal,0.0,8.0,0.0,11.5
Paraguay,0.0,8.0,0.0,13.0
Bolivia,0.0,8.0,0.0,13.25
Syria,0.0,8.0,0.0,35.0
Yemen,0.0,7.0,0.0,9.86
San Marino,0.0,6.0,0.0,4.5
Tajikistan,0.0,6.0,0.0,7.17
Barbados,0.0,6.0,0.0,10.0
El Salvador,0.0,6.0,0.0,10.17
Uganda,0.0,6.0,0.0,10.67
Honduras,0.0,6.0,0.0,15.17
Bahrain,0.0,6.0,0.0,33.5
Sierra Leone,0.0,5.0,0.0,3.6
Mongolia,0.0,5.0,0.0,6.2
Benin,0.0,5.0,0.0,7.0
Mauritius,0.0,5.0,0.0,8.2
Monaco,0.0,5.0,0.0,9.2
Maldives,0.0,5.0,0.0,16.4
Zimbabwe,0.0,4.0,0.0,2.5
Rwanda,0.0,4.0,0.0,4.0
Afghanistan,0.0,4.0,0.0,5.0
Isle of Man,0.0,4.0,0.0,5.0
Guyana,0.0,4.0,0.0,22.5
Åland Islands,0.0,3.0,0.0,4.33
Laos,0.0,3.0,0.0,6.33
Bhutan,0.0,3.0,0.0,7.67
Jersey,0.0,3.0,0.0,8.33
Congo - Kinshasa,0.0,2.0,0.0,4.5
South Sudan,0.0,2.0,0.0,5.0
Namibia,0.0,2.0,0.0,6.0
Togo,0.0,2.0,0.0,6.0
Andorra,0.0,2.0,0.0,6.5
Brunei,0.0,2.0,0.0,7.0
Equatorial Guinea,0.0,2.0,0.0,7.0
Tanzania,0.0,2.0,0.0,7.0
Dominica,0.0,2.0,0.0,8.0
Bahamas,0.0,2.0,0.0,24.5
Gabon,0.0,2.0,0.0,27.0
Bermuda,0.0,2.0,0.0,37.0
Guernsey,0.0,1.0,0.0,1.0
Nicaragua,0.0,1.0,0.0,1.0
Cayman Islands,0.0,1.0,0.0,2.0
Swaziland,0.0,1.0,0.0,3.0
Turks & Caicos Islands,0.0,1.0,0.0,3.0
Réunion,0.0,1.0,0.0,4.0
Sudan,0.0,1.0,0.0,4.0
Liechtenstein,0.0,1.0,0.0,6.0
