key,clicks,impressions,ctr,position
https://electionsbg.com/,361.0,864.0,0.4178,12.08
https://electionsbg.com/sections/IT,292.0,2491.0,0.11720000000000001,4.91
https://electionsbg.com/sections/ES,201.0,1457.0,0.138,4.64
https://electionsbg.com/candidate/Венелин Денчев Шъков/,78.0,646.0,0.1207,7.58
https://electionsbg.com/candidate/Емилия Красимирова Кехайова,58.0,433.0,0.13390000000000002,5.92
https://electionsbg.com/candidate/Петко Владимиров Симитчиев/,50.0,241.0,0.2075,5.34
https://electionsbg.com/candidate/Силвия Иванова Иванова-Гатовска/,49.0,183.0,0.26780000000000004,2.13
https://electionsbg.com/candidate/Георги Юриев Нотев,48.0,254.0,0.18899999999999997,6.03
https://electionsbg.com/candidate/Иван Илчев Ангелов/,41.0,414.0,0.099,7.83
https://electionsbg.com/candidate/Румяна Любенова Петрова/,38.0,274.0,0.1387,7.01
https://electionsbg.com/candidate/Стойчо Викторов Бозуков,36.0,192.0,0.1875,5.73
https://electionsbg.com/candidate/Елизабет Буен Тодорова,34.0,103.0,0.3301,3.64
https://electionsbg.com/officials/elena-pavlova-kirilova-shterbakova-631660,34.0,89.0,0.382,4.16
https://electionsbg.com/officials/petr-velkov-kostadinov-c2638e,32.0,86.0,0.3721,6.52
https://electionsbg.com/sections/02659,31.0,218.0,0.1422,6.17
https://electionsbg.com/candidate/Десислава Емилова Абрашева/,27.0,271.0,0.09960000000000001,7.35
https://electionsbg.com/candidate/Албена Малинова Аврамова,25.0,140.0,0.17859999999999998,5.6
https://electionsbg.com/sections/51809,24.0,160.0,0.15,9.72
https://electionsbg.com/sections/57491,23.0,121.0,0.19010000000000002,6.02
https://electionsbg.com/candidate/Виктория Викторова Карабашева,22.0,105.0,0.2095,5.16
https://electionsbg.com/candidate/Дико Градев Диков/,21.0,274.0,0.0766,8.06
https://electionsbg.com/candidate/Айдънджан Айдънов Исов,21.0,245.0,0.0857,4.93
https://electionsbg.com/candidate/Румяна Любенова Петрова,21.0,127.0,0.1654,8.1
https://electionsbg.com/candidate/Денис Пламенов Гърлов,21.0,74.0,0.2838,6.09
https://electionsbg.com/candidate/Юсмен Шакир Юсмен,20.0,245.0,0.0816,7.13
https://electionsbg.com/candidate/Лора Димитрова Тодорова,20.0,119.0,0.1681,4.59
https://electionsbg.com/settlement/02810,20.0,96.0,0.20829999999999999,7.81
https://electionsbg.com/candidate/Десислава Наскова Митова,20.0,72.0,0.2778,3.51
https://electionsbg.com/candidate/Ивален Катев Манчин,20.0,71.0,0.2817,6.14
https://electionsbg.com/candidate/Грета Антонова Колева,19.0,123.0,0.1545,7.76
https://electionsbg.com/candidate/Симона Трайчева Зескас/,19.0,114.0,0.16670000000000001,4.89
https://electionsbg.com/candidate/Йовелина Нейчева Тихова/,19.0,90.0,0.21109999999999998,4.86
https://electionsbg.com/candidate/Момчил Бончев Петров,19.0,58.0,0.3276,5.95
https://electionsbg.com/section/131900083,18.0,163.0,0.1104,8.5
https://electionsbg.com/candidate/Георги Владов Григоров,18.0,152.0,0.1184,5.86
https://electionsbg.com/candidate/Владислава Илиева Казакова,18.0,92.0,0.1957,10.47
https://electionsbg.com/candidate/Веселина Ангелова Таскова-Йорданова,18.0,69.0,0.2609,5.39
https://electionsbg.com/candidate/Антонио Сотиров Коларов,17.0,430.0,0.0395,10.4
https://electionsbg.com/candidate/Сунай Хасанов Мунков,17.0,312.0,0.0545,8.32
https://electionsbg.com/candidate/Мирена Николаева Гуглева-Иванова,17.0,167.0,0.1018,7.13
https://electionsbg.com/candidate/Йозджан Сали Сали/,17.0,55.0,0.3091,2.69
https://electionsbg.com/candidate/Юсуф Муса Чолак/,16.0,248.0,0.0645,7.56
https://electionsbg.com/candidate/Пламена Александрова Димитрова,16.0,117.0,0.1368,5.72
https://electionsbg.com/candidate/Калина Лъчезарова Джуджева,16.0,65.0,0.2462,5.2
https://electionsbg.com/candidate/Гергана Страхилова Божкова/,16.0,65.0,0.2462,6.95
https://electionsbg.com/candidate/Пламен Делев Делев,15.0,326.0,0.046,9.55
https://electionsbg.com/candidate/Николета Калчева Лингорова-Христова,15.0,170.0,0.0882,7.02
https://electionsbg.com/candidate/Недялко Бончев Русков,15.0,116.0,0.1293,5.75
https://electionsbg.com/candidate/Ружа Андреева Райчева/donations,15.0,63.0,0.23809999999999998,4.78
https://electionsbg.com/sections/GB,14.0,230.0,0.060899999999999996,6.23
https://electionsbg.com/section/130300001,14.0,50.0,0.28,6.0
https://electionsbg.com/candidate/Ивален Катев Манчин/,14.0,47.0,0.2979,2.04
https://electionsbg.com/candidate/Боряна Павлова Велинова-амори,14.0,29.0,0.4828,3.0
https://electionsbg.com/candidate/Тодор Тодоров Батков,13.0,237.0,0.054900000000000004,7.62
https://electionsbg.com/candidate/Александър Димитров Попов/,13.0,161.0,0.08070000000000001,6.33
https://electionsbg.com/sections/65927,13.0,117.0,0.11109999999999999,8.68
https://electionsbg.com/candidate/Красимир Атанасов Костов,13.0,97.0,0.134,4.37
https://electionsbg.com/en/candidate/Михаил Добринов Кашеров,13.0,80.0,0.1625,5.91
https://electionsbg.com/sections/61813,13.0,77.0,0.16879999999999998,5.31
https://electionsbg.com/section/011300020,13.0,55.0,0.2364,5.35
https://electionsbg.com/candidate/Иван Георгиев Голомеев,13.0,52.0,0.25,6.77
https://electionsbg.com/candidate/Борислав Иванов Еленов,13.0,44.0,0.2955,6.39
https://electionsbg.com/candidate/Стойне Митков Стойнев,13.0,28.0,0.4643,18.43
https://electionsbg.com/section/131900010,12.0,108.0,0.11109999999999999,5.43
https://electionsbg.com/sections/66425,12.0,82.0,0.1463,6.49
https://electionsbg.com/candidate/Йордан Атанасов Мицикулев,12.0,82.0,0.1463,6.9
https://electionsbg.com/section/282400008,12.0,62.0,0.1935,7.97
https://electionsbg.com/candidate/Виргиния Атанасова Даскалова,12.0,51.0,0.2353,5.06
https://electionsbg.com/candidate/Никола Красимиров Скорчелиев,11.0,161.0,0.0683,7.53
https://electionsbg.com/candidate/Дико Градев Диков,11.0,154.0,0.07139999999999999,9.3
https://electionsbg.com/candidate/Джемал Осман Джемал,11.0,115.0,0.09570000000000001,6.23
https://electionsbg.com/candidate/Детелина Йорданова Симеонова/,11.0,91.0,0.1209,6.49
https://electionsbg.com/candidate/Александра Павлова Ангелакова,11.0,87.0,0.1264,5.98
https://electionsbg.com/candidate/Наталия Иванова Стойнева/,11.0,78.0,0.141,5.21
https://electionsbg.com/sections/46045,11.0,74.0,0.14859999999999998,7.11
https://electionsbg.com/candidate/Александър Валентинов Дрехарски/,11.0,73.0,0.1507,3.01
https://electionsbg.com/candidate/Валентин Димитров Пейков,11.0,59.0,0.1864,6.27
https://electionsbg.com/candidate/Иван Илчев Ангелов,11.0,59.0,0.1864,6.36
