key,clicks,impressions,ctr,position
секции за гласуване в италия,31.0,145.0,0.2138,3.59
венелин шъков,26.0,271.0,0.0959,8.84
избирателни секции в италия,23.0,92.0,0.25,3.1
изборни секции в италия,22.0,86.0,0.25579999999999997,2.73
венелин денчев шъков,21.0,131.0,0.1603,6.81
иван ангелов прогресивна българия биография,20.0,174.0,0.1149,7.73
георги нотев възраждане,19.0,142.0,0.1338,6.32
секции за гласуване в испания 2026,18.0,207.0,0.087,5.15
elections bg,18.0,99.0,0.1818,6.4
йовелина нейчева тихова,18.0,61.0,0.29510000000000003,4.0
антоний сотиров,17.0,398.0,0.042699999999999995,10.18
петко симитчиев,17.0,157.0,0.10830000000000001,6.45
избирателни секции в испания,17.0,65.0,0.2615,1.94
петър велков костадинов,16.0,77.0,0.2078,6.42
елена кирилова щербакова,16.0,53.0,0.3019,4.68
симона зескас,15.0,101.0,0.1485,6.68
румяна петрова прогресивна българия,15.0,97.0,0.15460000000000002,9.22
силвия иванова гатовска,15.0,40.0,0.375,1.55
гергана страхилова божкова,15.0,35.0,0.4286,7.37
секции за гласуване в испания,14.0,87.0,0.1609,2.28
владислава илиева казакова,13.0,70.0,0.1857,5.97
силвия гатовска,13.0,57.0,0.2281,1.54
ruzha andreeva raycheva,13.0,54.0,0.2407,4.43
момчил бончев петров,13.0,44.0,0.2955,6.41
грета антонова колева,12.0,63.0,0.1905,5.95
дико градев,11.0,213.0,0.0516,9.15
юсмен шакир юсмен,11.0,103.0,0.10679999999999999,7.36
радослав беневрешки,11.0,103.0,0.10679999999999999,8.63
александър дрехарски,11.0,97.0,0.1134,3.81
айдънджан исов,11.0,88.0,0.125,4.48
румяна любенова петрова,11.0,86.0,0.12789999999999999,8.0
десислава емилова абрашева,10.0,62.0,0.1613,4.11
изборни секции в испания,10.0,36.0,0.2778,2.28
муса чолак,9.0,177.0,0.0508,8.7
десислава абрашева,9.0,148.0,0.0608,8.64
иван илчев ангелов,9.0,125.0,0.07200000000000001,8.62
дико градев диков,9.0,110.0,0.0818,8.36
александра йовчева вълчева,9.0,66.0,0.1364,12.86
петко владимиров симитчиев,9.0,20.0,0.45,2.9
сунай мунков,8.0,165.0,0.048499999999999995,9.83
димитър чамов,8.0,48.0,0.16670000000000001,6.35
васка александрова милушева,8.0,47.0,0.1702,6.77
александър димитров попов,8.0,45.0,0.1778,7.53
емилия красимирова кехайова,7.0,86.0,0.0814,5.13
георги владов григоров,7.0,85.0,0.0824,5.79
никола скорчелиев,7.0,85.0,0.0824,8.81
емилия кехайова,7.0,83.0,0.0843,7.24
мирена николаева гуглева-иванова,7.0,77.0,0.0909,6.92
мирена гуглева,7.0,65.0,0.10769999999999999,8.26
георги григоров депутат,7.0,55.0,0.1273,4.04
николета калчева лингорова-христова,7.0,50.0,0.14,5.3
йовелина тихова,7.0,36.0,0.19440000000000002,23.94
левент апти,7.0,17.0,0.4118,25.82
цветелина джелепова,6.0,122.0,0.0492,9.79
едиз саидов,6.0,104.0,0.057699999999999994,10.36
лъчезар карадимов,6.0,77.0,0.0779,7.6
мариям саркис сакъз,6.0,60.0,0.1,7.98
михаил кашеров,6.0,33.0,0.1818,7.91
мария димова илиева,5.0,266.0,0.018799999999999997,9.35
тодор тодоров батков,5.0,132.0,0.0379,7.89
симона люцканова,5.0,122.0,0.040999999999999995,11.07
красен раковски,5.0,92.0,0.054299999999999994,7.86
грета колева перник,5.0,59.0,0.08470000000000001,9.12
детелина симеонова,5.0,45.0,0.11109999999999999,7.16
александра павлова ангелакова,5.0,43.0,0.11630000000000001,6.7
