rank,tier,domain,outlet,type,scope,similarweb_visits_jul2026,semrush_visits_jul2026,tranco_rank_aug2026,feed_method_aug2026,feed_url_aug2026,feed_status_aug2026,feed_success_aug2026,feed_notes_aug2026,quarantine_aug2026,bot_policy_aug2026,logo_url_aug2026,owner_aug2026,owner_category_aug2026,owner_source_aug2026,owner_checked_aug2026,hotlink_ok_aug2026
2,mass,dir.bg,Dir.bg,portal+news,national,12.1M,20.85M,27300,browser_render_scrape,https://dir.bg/,200,yes,sitemap.xml_and_robots.txt_carry_no_article_sitemap_only_a_tiny_navigation_urlset_confirmed_via_browser_homepage_is_the_real_aggregated_headline_feed_dom_scrape_only_goto_failed_with_internal_webview_error_on_3_attempts_2026-08-22_both_bare_and_www_environment_failure_not_site_class,,,https://static.dir.bg/images/logo-blue.jpg?_=1664377176,,,,,yes
3,mass,blitz.bg,Блиц,tabloid news,national,11.9M,8.52M,19769,browser_then_rss,https://blitz.bg/rss,200,yes,cloudflare_js_challenge_blocks_a_bare_http_client_clear_it_with_a_real_browser_first_then_fetch_the_url_column_directly_native_rss_and_sitemap_both_confirmed,,,,,,,,
4,mass,vesti.bg,Vesti.bg (Nova),news,national,10.9M,5.76M,57839,robots_sitemap,https://www.vesti.bg/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://www.vesti.bg/resources/img/vesti_logo.svg,,,,,yes
5,mass,nova.bg,Нова телевизия / Нова Нюз,TV news,national,7.7M,7.73M,19160,robots_sitemap,https://nova.bg/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://nstatic.nova.bg/files/nova/images/nova-logo.svg,,,,,
6,mass,mediapool.bg,Mediapool,independent news,national,6.9M,5.83M,27680,robots_sitemap,https://www.mediapool.bg/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://www.mediapool.bg/assets/images/logo-path.svg,,,,,no
7,mass,dnes.bg,Dnes.bg,news,national,6.3M,7.73M,55233,robots_sitemap,https://www.dnes.bg/sitemap/sitemap.xml,200,yes,sitemap_xml_confirmed,stale_source,,https://dnes.bg/media/img/favicon.ico,,,,,
8,mass,fakti.bg,Факти,news,national,5.8M,8.27M,20288,sitemap_news,https://fakti.bg/sitemapNews.xml,200,yes,robots.txt_declares_sitemapNews.xml_google_news_sitemap_373_dated_titled_articles_plain_sitemap.xml_is_an_undated_sitemapindex_whose_first_chunks_hold_2011_2024_archive_urls_not_the_latest_switched_during_save_articles_build,,,https://fakti.bg/img/fakti-logo-red.png,,,,,yes
9,mass,24chasa.bg,24 часа,newspaper,national,5.0M,6.71M,18336,robots_sitemap,https://www.24chasa.bg/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://www.24chasa.bg/images/logo.svg,,,,,
10,mass,petel.bg,Петел,tabloid news,national,6.1M,,68529,sitemap,https://petel.bg/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://static.petel.bg/img/petel.ico,,,,,
13,mass,focus-news.net,Агенция Фокус,agency,national,5.8M,,54462,sitemap,https://focus-news.net/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://i.id24.bg/tpl/focusnewsnew/img/focus_logo.svg,,,,,
14,mass,pik.bg,ПИК,tabloid news,national,5.8M,,74622,robots_sitemap,https://pik.bg/sitemap/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://pik.bg/box/img/fav/apple-touch-icon.png,,,,,
