"Наименование","ЕИК","Вид на агенцията","Към участник","Описание"
"МАГ АДВЪРТАЙЗИНГ ЕООД","103117045","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Анонс медиа груп ЕООД","207190323","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"082 Пи Ар Ейджънси  ЕООД","208480012","Социологическа","КП ГЕРБ-СДС - Коалиция",""
"Енигма 96 ЕООД","200289610","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ИДЕЯ КОММ АД","121826308","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ПАС ИНВЕСТ БГ ЕООД","203338756","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Кракра АД","823090000","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"АЛПИКА ЕООД","113587402","Социологическа","КП ГЕРБ-СДС - Коалиция",""
"МЕДИА ПЛАНИРАНЕ ЕООД","203886482","Социологическа","КП ГЕРБ-СДС - Коалиция",""
"СД ""УНИВЕРСАЛ-ИПП-Тасеви и Сие"" Търговище","020155727","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ЗНАМЕ ЕООД ","125506704","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ПИЯР Партнер Груп ","201365727","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"БОРД МЕДИЯ ЕООД","202117164","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ОБЩИНА СМОЛЯН","000615118","Социологическа","КП ГЕРБ-СДС - Коалиция",""
"ДЖИ ТИ ЕС - ЛЕД ООД","200296626","Социологическа","КП ГЕРБ-СДС - Коалиция",""
"Нитос Дизайн ЕООД","201947239","Социологическа","КП ГЕРБ-СДС - Коалиция",""
"ИК ЗНАМЕ ЕАД","202127308","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"С.А.Р.А - КОНСУЛТ ЕООД","203399827","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ПАМЕДИЯ ЕООД","208583915","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ИнфоЛийд ЕООД ","201946105","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ПА 1 БГ ЕООД","200670344","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ВИА МЕДИЯ ГРУП ООД","208314802","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ЕТ ПВ ПЛЮС-ИВАН ИЛИЕВ","114552814","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ПРЕСГРУПА УТРО ЕООД","117017845","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"МУЛТИКОМЕРС ЕООД","117035811","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ГЛАШАТАЙ ИНФО И ИМИДЖ ЕООД","203387611","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"МОНТАНА 24 ЕООД","204827597","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ДКЦ 2 СЛИВЕН ЕООД","119502740","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ТВВ ООД","105014364","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ОЛИМПИАДА 12 ЕООД","202189135","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ФЛАШ НЮЗ ЕООД","201460726","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ЛОНГРИЙЧ ЕООД","206519356","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ГЛАСОВЕТЕ.КОМ ЕООД","204275490","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ЛАЙВ СТРИЙМ 1 ЕООД","204830262","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"САСАНИДИ АД","201724065","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"БГЕНЕС КОРПОРЕЙШЪН ЕООД","206617149","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ДИР.БГ АД","130243596","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"168 ЧАСА ЕООД","831400025","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"СТУДИО ЧАРЛИ ФИЛМС ЕООД","204522791","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"БИЗ БГ ООД","205320230","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"Информационна агенция БЛИЦ ЕООД","204080210","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"Уебграунд Груп АД","207051177","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"КЛУБ ЗЕБРА МЕДИЯ ЕООД","206850865","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ДАТА НЮЗ ЕООД","207089078","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ИНСТИТУТ ЗА СТРАТЕГИИ И АНАЛИЗИ ЕООД","203683119","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ФОКУС МЕДИЯ ЕООД","206912758","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ФИЛТЪР НЮЗ ООД","208072053","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"БЪЛГАРСКА НАЦИОНАЛНА ТЕЛЕВИЗИЯ","000672350","За осъществяване на връзки с обществеността","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"Статис АД","833172830","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия",""
"КИПА-КАЛИНКА ТРИФОНОВА  ЕТ","117043352","Рекламна","ИМА ТАКЪВ НАРОД - Партия",""
"ИМПРЕС ЕООД София","104117607","Рекламна","ИМА ТАКЪВ НАРОД - Партия","билборд"
"ОП ОБЩИНСКИ МЕДИЕН ЦЕНТЪР","000931721","Рекламна","ИМА ТАКЪВ НАРОД - Партия","билборд"
"ЕТ Обретенов и с-е","827130862","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"Алфа Рисърч ООД","121309392","Социологическа","КП СИЯНИЕ - Коалиция",""
"МЕДИА СЪРВИС ООД","148075184","Рекламна","ВЪЗРАЖДАНЕ - Партия","НАЕМ БИЛБОРД"
"БТА","000695071","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПРЕСКОНФЕРЕНЦИИ"
"Джей Си Деко Имидж АД","204826560","Рекламна","ВЪЗРАЖДАНЕ - Партия","ВЪНШНА РЕКЛАМА"
"СТАТУС ПРОПЪРТИ ООД","203002243","Рекламна","ВЪЗРАЖДАНЕ - Партия","ЗА РЕКЛАМНА КАМПАНИЯ-ИЗБОРИ-19.04.2026"
"КАБЕЛ САТ - ЗАПАД ООД","101140198","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","РЕПОРТАЖИ"
"ЕКРИТ МЕДИА ООД","204600845","Рекламна","ВЪЗРАЖДАНЕ - Партия","ЗА РЕКЛАМНА КАМПАНИЯ-ИЗБОРИ-19.04.2026"
"Телевизия Евроком ООД ","121761999","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ОТРАЗЯВАНЕ КАМПАНИЯ-ИЗБОРИ 19,04,2026"
"БНР -РСС - РАДИО ВАРНА","0006723430025","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-РАДИО"
"БЪЛГАРСКО НАЦИОНАЛНО РАДИО","000672343","За осъществяване на връзки с обществеността","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"ДИАНА-ДИЗАЙН-08 ЕООД","200194492","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"ПИКСЕЛ ДИЗАЙН ЕООД","203363215","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"ФОТО ВАРНА ЕООД","200206593","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"ВЕРБАЛ ООД","200957052","За осъществяване на връзки с обществеността","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"ОМЕГА ПРИНТ ООД","125547268","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"ОБЩИНА СМОЛЯН","000615118","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"ШОУ ВИДЕО ЕООД","204513162","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"ДВАДЕСЕТ И ТРИ ЕООД","207296387","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"ДУКС 1990 ООД","205015990","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"НЮ ЛЕВЪЛ КЪНСЪЛТИНГ ООД","205025714","Рекламна","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ - Партия","ПОЛИТИЧЕСКА РЕКЛАМА"
"Дакс медия АД","121499212","Рекламна","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ - Партия","ПОЛИТИЧЕСКА РЕКЛАМА"
"МАРТ МЕДИЯ ЕООД","102875076","Рекламна","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ - Партия","ПОЛИТИЧЕСКА РЕКЛАМА"
"Янтра прес АД В.Търново вестник Янра днес","104092980","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
