"Име на кандидат/член на ИнК","Предоставил средства на","От дата","Вид","Размер","Стойност","Декл."
"Николай  Попов","КП СИЯНИЕ - Коалиция","12.03.2026","Кандидат","5000.00","0.00",""
"Николай  Попов","КП СИЯНИЕ - Коалиция","12.03.2026","Кандидат","5000.00","0.00",""
"Христо  Лютаков","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","0.00","80.00",""
"Себахтин Гьокче","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","0.00","300.00",""
"Антония Добрева","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","0.00","492.00",""
"Аилин Пехливанова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","0.00","536.05",""
"Аилин Пехливанова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","0.00","804.00",""
"Деница Симеонова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","0.00","150.00",""
"Венко  Сабрутев","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","10000.00","0.00",""
"Деян  Петрески","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","5000.00","0.00",""
"Николай Томитов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","621.60","0.00",""
"Николай Томитов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","816.00","0.00",""
"Емил Димитров","КП СИНЯ БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","5000.00","0.00",""
