"Фини прахови частици под 10 µm за периода от 01.01.2026 до 31.03.2026 [ug/m3 ]","","","",""
"Име на български език","Брой СД","Брой превишения на СДН 50.0","Макс. СД","Средна за периода"
"Гара Яна","89","0","35.200000762939","19.162921905518"
"Копитото","49","0","19.700000762939","10.002040863037"
"Перник - Църква","82","4","83.599998474121","30.77073097229"
"София - Дружба","88","4","57.231060028076","27.712240219116"
"София - ИАОС/Павлово","87","1","54.209060668945","25.249534606934"
"София - Младост","90","0","45.747928619385","22.169309616089"
"София - Надежда","85","3","68.825325012207","26.961116790771"
"София - Хиподрума","81","4","60.790626525879","29.071067810059"
"Долни Воден","90","13","105","34.345554351807"
"Пловдив - Каменица","90","5","58.589542388916","27.006380081177"
"Пловдив - ж.к. Тракия","90","16","78.035781860352","34.185531616211"
"Варна - СОУ Ангел Кънчев","87","3","56.382194519043","23.665100097656"
"Девня - Изворите","90","0","31.579679489136","24.879825592041"
"Варна - Чайка","90","1","56.099998474121","18.612222671509"
"В.Търново - РИОСВ","86","9","76.5","26.397674560547"
"Видин 2","90","17","88.342163085938","36.645050048828"
"Враца - ЖП Гара","84","0","34.874099731445","15.268534660339"
"Г.Оряховица","90","14","80.167205810547","31.333604812622"
"Добрич - ОУ Хан Аспарух","90","0","45.24732208252","20.204223632812"
"Ловеч","90","2","57.305107116699","23.302906036377"
"Монтана - РИОСВ","88","11","85.900001525879","29.16"
"Никопол ДОАС","90","31","74.699996948242","44.811111450195"
"Плевен – НУ Патриарх Евтимий","90","7","59.975952148438","28.278017044067"
"Русе - Възраждане","90","15","100.51737976074","35.986846923828"
"Свищов ДОАС","90","14","107.09999847412","40.958889007568"
"Силистра ДОАС S1","90","3","66.900001525879","23.783332824707"
"Шумен","90","0","49.208293914795","23.386117935181"
"Благоевград","88","0","46.660049438477","18.290952682495"
"Кърджали - Студен кладенец","86","0","40.799999237061","22.296510696411"
"Перник - Център","90","20","78.311584472656","34.013324737549"
"Пирдоп","74","1","78.800003051758","20.894594192505"
"Рожен - КФС","87","0","22","3.1091954708099"
"Смолян - Библиотеката","90","5","111.7947845459","26.116539001465"
"Бургас - кв. Долно Езерово","86","7","65.724983215332","29.957473754883"
"Бургас - кв. Меден Рудник","86","0","47.350891113281","20.980409622192"
"ДОАС - Ръжена","90","0","48.411201477051","16.353244781494"
"Димитровград - Раковски","90","10","83.882568359375","27.010688781738"
"Несебър","90","0","43.237300872803","21.213983535767"
"Пазарджик - РИОСВ","90","4","57","28.716667175293"
"Сливен","90","5","64.968757629395","26.459135055542"
"Стара Загора - Зелен Клин","83","1","61.357398986816","21.164413452148"
"Хасково - РИОСВ","81","0","38.900001525879","21.570369720459"
"Бургас - ДОАС","58","0","35.5","23.072414398193"
"Гълъбово","90","0","36.400001525879","21.098888397217"
"Витиня - ЕС1","83","0","20.892337799072","13.789525985718"
"Юндола - ЕС2","64","0","24.935998916626","7.7213716506958"
"Старо Оряхово - ЕС3","85","1","56.187587738037","15.62575340271"
