rank,contractor_eik,contractor_name,total_awarded_eur,contract_count,first_year,last_year,is_debtor,debt_amount,debt_currency,checked_on,notes
1,103267194,Софарма трейдинг АД,2295449354,6092,2011,2026,,,,,
2,203283623,Фьоникс Фарма ЕООД,1152594633,3329,2014,2026,,,,,
3,177367106,Обединение Консорциум Аркад,1102203220,1,2019,2019,,,,,
4,831646048,Автомагистрали ЕАД,1070443036,24,2013,2026,,,,,
5,175405647,"""БДЖ-ПЪТНИЧЕСКИ Превози"" съкратено ""БДЖ - ПП"" ЕООД",980558458,1,2026,2026,,,,,
6,121699202,ЛУКОЙЛ-БЪЛГАРИЯ ЕООД,830663933,618,2011,2026,,,,,
7,131279951,РОШ България ЕООД,812401963,318,2011,2026,,,,,
8,131268894,Медекс ООД,737524574,2488,2011,2026,,,,,
9,175256438,Алта фармасютикълс ООД,691882452,459,2011,2026,,,,,
10,130131711,ГБС - Инфраструктурно строителство АД,624497471,83,2011,2026,,,,,
11,835013079,ЕМУ АД,614146867,385,2011,2026,,,,,
12,113570147,Електрохолд Трейд ЕАД,571434604,935,2011,2026,,,,,
13,113580690,Нивел строй ЕООД,562867556,232,2013,2026,,,,,
14,200852966,Бент ОЙЛ АД,546167517,826,2011,2026,,,,,
15,130258609,Импулс КО ООД,520925241,201,2011,2026,,,,,
16,832018046,Соломед ЕООД,506990627,1441,2011,2026,,,,,
17,831496285,Петрол АД,498592927,1894,2011,2026,,,,,
18,103029862,Хидрострой АД,451752389,357,2011,2026,,,,,
19,202513217,Фармнет ЕАД,429246529,270,2013,2026,,,,,
20,104693344,Пътни строежи - велико търново ЕАД,417181242,171,2011,2026,,,,,
21,207875565,Ивкони експрес ЕАД,415765823,2,2026,2026,,,,,
22,123682269,Трейс груп холд АД,413263980,95,2011,2026,,,,,
23,204342601,Инфра експерт АД,407730531,146,2017,2026,,,,,
24,131468980,А1 България ЕАД,387492291,1281,2011,2026,,,,,
25,115004094,Европейски пътища АД,380635215,107,2011,2026,,,,,
26,121706547,РСР ЕООД,352982069,1982,2011,2026,,,,,
27,106530686,Атоменергоремонт АД,344580391,135,2011,2026,,,,,
28,831641791,Информационно обслужване АД,327250727,338,2011,2026,,,,,
29,121746004,Сименс ЕООД,309681926,209,2011,2026,,,,,
30,200081794,ПЪТПЕРФЕКТ-Т ЕАД,303443369,116,2012,2026,,,,,
31,121819662,ВИП Секюрити ЕООД,276044948,85,2015,2026,,,,,
32,831029075,ЕКОС-МЕДИКА ООД,272883095,1400,2011,2026,,,,,
33,835009611,ПЪТИНЖЕНЕРИНГСТРОЙ-Т ЕАД,270004031,187,2011,2026,,,,,
34,177343728,ДЗЗД Апп лот 3.2.1,255645900,1,2023,2023,,,,,
